RegionID,SizeRank,RegionName,RegionType,StateName,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
394404,10,"Boston, MA",msa,MA,336216.1655369911,338648.3447631304,328680.6852337339,325444.14977179654,347661.9023317999,372582.88476516213,394167.38747344614,421524.5907222717,450829.02702909504,480199.05776059517,492602.7084245533,516923.75763251004,581849.0874012919,635965.2254347486,656534.1764737382,703653.9703299633
394976,11,"Phoenix, AZ",msa,AZ,173335.3854371876,155405.9693982984,137233.2354917798,148881.25334502436,183360.6581439411,204454.91130425662,215414.8334677728,234874.65475910192,250005.25095313194,269367.6593874029,286730.34268466604,315617.4042491584,392015.2860019579,476161.99292670516,452384.6450843352,462883.8102309567
395057,12,"San Francisco, CA",msa,CA,474892.305744291,472726.90126819286,442006.95821991196,442198.04594780836,536945.8464594415,619230.1639143884,703247.4766501995,773235.378937279,819690.8960785611,907462.4647761773,915202.4353891372,943111.1309954036,1068031.6508792231,1178898.3125893686,1098788.7000469693,1132094.598010749
395025,13,"Riverside, CA",msa,CA,204081.16816756557,197230.0795300013,191828.53847354106,189959.64644487924,225833.52109361268,270650.3104573416,291596.02221696294,308636.9497151642,331722.95594311465,365606.7305281668,378533.6322438463,399471.2471753142,477385.03004581644,562113.3329556711,560337.3968752628,588028.7801619055
394532,14,"Detroit, MI",msa,MI,101349.56833111733,89977.85982195288,82939.03443877361,84600.5139324744,100681.72302448645,119330.50291515583,129749.41613151667,141002.54142865163,153672.20353592225,167242.6071515703,178462.33831056804,187663.08485062243,213799.63216982898,233661.32147616442,239208.06791389166,252060.31830161103
395078,15,"Seattle, WA",msa,WA,340770.9383305546,318688.6155796093,286141.6585539079,264949.3539894439,291711.3590854451,320362.5472878572,350024.7563374517,394065.2588305797,443121.13592273486,496461.68882156716,506855.7068942383,542395.2931692995,640523.7343362035,735838.8619878907,707217.6707138987,740811.3058114405
394865,16,"Minneapolis, MN",msa,MN,207353.11310941514,202537.69739230306,183620.33238591906,179689.07935519598,200523.16697535128,217909.29374216843,228531.76074817605,243653.6984593081,261005.19798672447,278574.07929559884,291577.11814597854,307060.42208457546,343520.44114239904,371378.69596263446,371521.4014333661,376272.87858037144
395056,17,"San Diego, CA",msa,CA,359027.25084407063,363752.35059157846,344064.04840795737,341686.93501933094,395278.33101891173,442003.40131684253,473032.9597572269,509684.61538135825,547188.4414558039,581567.8462190108,591106.5951831993,623155.5927533653,732241.6834363467,858009.0530221657,862109.1101958584,933609.8417371985
395148,18,"Tampa, FL",msa,FL,150642.28532254844,137958.66264419697,122493.15247084312,120196.8778419675,134835.59923277554,150734.15528946446,163335.15754319084,180955.91440713874,198747.56292256233,215643.011226185,228114.81502930718,244863.49590518305,291881.9910535658,368376.68940772087,377984.0141237611,383849.6576733111
394530,19,"Denver, CO",msa,CO,234090.71325087207,233970.67951912736,224682.58814377207,228667.8865721832,253070.3578819045,277189.26957378566,314597.10197031643,351855.6342136739,383009.02888871176,409503.0020935731,427267.8319857178,450477.5406847669,520640.0564278728,596181.521796328,581789.9940491153,589142.6741969137
394358,20,"Baltimore, MD",msa,MD,270349.631592832,258735.10428249903,242089.0286407202,238332.97769671257,249433.52715905543,260002.9722706118,263579.7151069857,269372.44661214016,277386.25582476344,286349.74294633744,294537.24704686675,306501.8499700554,339729.2766834992,364790.14887125784,375435.5963904892,388421.2772188463
395121,21,"St. Louis, MO",msa,MO,161783.26224801946,157993.26293185123,148487.02715932776,142632.59636771024,144366.0516058095,148158.51533788184,153261.11949395607,160820.76849028675,168228.8108206703,175708.96435264972,182527.4190616161,193263.6606413943,216887.92838507157,238034.49662502154,248402.83206398468,259692.36458622295
394943,22,"Orlando, FL",msa,FL,165654.2026345772,144642.08278495833,129500.05679328868,130244.80619295144,150038.4787291366,172009.164419217,185160.5045171373,201223.59183229506,218714.11974212178,237676.3896092931,253407.32968729557,268481.5795310103,306015.13526049606,377867.1219083614,394519.185525846,404048.9454641212
394458,23,"Charlotte, NC",msa,NC,170292.47685871544,163264.21199981382,152317.68382008065,149560.21010502308,156958.01028509214,166666.51804995822,175906.20912169435,190504.14973465315,206079.59322465284,223029.4218369481,236281.11600474874,254459.62580682835,303873.9724324741,367283.6672758905,373670.0165848555,387034.1451118947
395055,24,"San Antonio, TX",msa,TX,145762.68269879316,144381.08933600262,140024.4996661523,140764.8419801249,146926.5924804873,156811.19944023585,168561.85385664584,180528.56967062943,191756.27920346285,202647.94950130177,210883.59565874297,222570.72712677973,254515.8182715523,297581.460964679,297776.6129313538,290293.99466506153
394998,25,"Portland, OR",msa,OR,267589.06954823853,253406.49614865173,231843.1626235733,226171.22387364774,250740.07178293026,276358.15389667253,304220.10792285897,347121.6300072403,378988.6425901768,398976.96068601153,409112.53483382455,431146.4021971726,498261.10294668056,555124.5858489764,541595.2115942647,549409.0643484362
395045,26,"Sacramento, CA",msa,CA,259114.70008203507,242033.3441472956,221404.72578017204,215651.7333088736,263770.81656543346,305410.96104724944,327656.62736783153,355645.66104479047,385743.40345175005,415437.70007773075,428873.11620537564,451065.83827345236,531567.0026712766,599357.649602926,569588.4638718282,584906.4615949729
394982,27,"Pittsburgh, PA",msa,PA,122331.28546775009,127110.30852274783,125623.64631145592,126675.36874812859,129720.83927823085,134263.1860482512,140098.95896158798,145502.27684834576,150642.83129409442,158091.51994533857,164218.1902180015,175215.96091746117,197927.25379325228,209636.12169305768,211841.95558612805,221217.53205561568
394466,28,"Cincinnati, OH",msa,OH,147554.28586632683,147303.55498895657,138893.49791196923,136316.92612251264,140135.43780343764,145900.79658335735,151450.44387054807,159390.51913730602,168663.92661853138,179007.23574635634,190640.62447463968,205318.27747477815,235776.48277883578,261421.6716671484,273304.4445013412,287057.6615067968
394355,29,"Austin, TX",msa,TX,202102.65777394958,199652.15840462456,193184.36283573168,196928.52954940381,214443.72511812954,238384.87258279673,263218.6442309387,283163.1961360871,297370.7927057072,307616.5440345704,316615.8597968475,341101.4588534864,444740.6372296713,536880.6316949346,485942.15827295784,462991.59225835284
394775,30,"Las Vegas, NV",msa,NV,169530.99391997064,142421.080409121,129059.27540689097,126609.98081446248,158337.81260393147,187931.54429302228,201883.80530837877,215695.44722850865,237029.12652791222,272992.7899197776,293594.8419982329,303432.5726701922,349946.16692957445,426350.94266931573,409470.9554449683,430196.723063522
394735,31,"Kansas City, MO",msa,MO,149430.02309335477,147475.46894348558,139199.13420973546,136331.43699910038,140717.73008452082,147808.80365268103,156345.95019414494,168244.64441232674,181869.51585235493,196282.77218616332,206712.4309516454,221104.6548528202,253735.2212945059,283263.1999389965,295772.7384638498,307733.95391065924
394492,32,"Columbus, OH",msa,OH,147758.01237607546,145270.069065609,139171.75009142296,134847.49163975994,139330.46870288937,148829.14938567573,159034.91939374572,169492.959149925,180292.02353553695,194248.76942326836,207902.16496274856,224798.293089167,258118.51356711294,291138.9261615236,304281.2055751285,319447.05743453914
394705,34,"Indianapolis, IN",msa,IN,129548.77807587222,129621.79302136537,124271.23869087419,124332.49842373318,127847.75767219992,134655.02519061943,140122.84315911614,147309.97215707193,157085.93628851822,169511.8635140465,181425.59480975257,196577.90334556272,229926.1835780273,266484.39464925457,273919.17624241253,281919.09502000816
394475,35,"Cleveland, OH",msa,OH,130267.15893718501,126191.49444194527,118721.16190464162,115902.92330486099,119325.86502737102,121485.76495601617,125570.33254868363,132284.32535515758,139204.49319679942,147658.18484423796,155670.4783448659,164112.21899194605,186856.11116821915,205239.4268015403,214963.535230926,229777.48774047932
395059,36,"San Jose, CA",msa,CA,502594.68044715654,508986.09830725705,480022.28819734295,509592.68976407667,627420.96748654,712558.8922358798,815042.0846227418,873941.3070850847,901895.9418066851,1111412.8673145152,1114161.9977224634,1130269.9437113483,1285961.0478159438,1471379.9446683286,1405488.2516441967,1537291.1578601252
