FIPS,Year,Rent,Houseless_rate,Sheltered_rate,Unsheltered_rate,TOT_POP,TOT_MALE,TOT_FEMALE,TOT_WHITE,TOT_BLACK,TOT_NATIVE,TOT_ASIAN,TOT_PACIFIC,TOT_LATINX,FI Rate,Cost Per Meal,Num_wholesale,Num_restaraunts,Num_grocery,Total_workforce,Employed,Unemployed,Unemployment_rate,coc_number,State,County,State/County,Low Threshold Type,High Threshold Type,percent_male,percent_female,percent_white,percent_black,percent_native,percent_asian,percent_pacific,percent_latinx,percent_nonwhite,gender_ratio,prop_sheltered,prop_unsheltered,wholesale_per_capita,restaurants_per_capita,grocery_per_capita,grocery_to_restaurant_ratio,wholesale_to_restaurant_ratio,grocery_to_wholesale_ratio,employment_rate,unemployment_rate_calc,workforce_participation_rate,monthly_food_cost,food_to_rent_ratio,log_rent,log_cost_per_meal,log_total_workforce,majority_race,delta_FI_rate,delta_unemployment_rate,delta_rent,delta_cost_per_meal,STATE,FI_prev,Predicted FI Rate
01049,2023,,,,,,,,,,,,,,0.19,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.70000000000005,,,1.4883995840570443,,white,-0.004,,,-0.2999999999999998,01,0.194,0.18640220050942202
01051,2023,,,,,,,,,,,,,,0.146,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.9,,,1.5496879080283263,,white,0.005,,,-0.4599999999999999,01,0.141,0.1450634953801927
01053,2023,,,,,,,,,,,,,,0.198,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.5,,,1.4701758451005928,,white,0.005,,,-0.3799999999999999,01,0.193,0.19425466611194986
01055,2023,,,,,,,,,,,,,,0.181,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.6,,,1.534714366238164,,white,0.006,,,-0.4499999999999997,01,0.175,0.17798402306217642
01057,2023,,,,,,,,,,,,,,0.193,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.99999999999994,,,1.4586150226995167,,white,-0.0119999999999999,,,-0.3800000000000003,01,0.205,0.18906636345427097
01059,2023,,,,,,,,,,,,,,0.184,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.7,,,1.4422019930581866,,white,0.001,,,-0.2999999999999998,01,0.183,0.18117151555378486
01061,2023,,,,,,,,,,,,,,0.198,3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.7,,,1.5539252025038417,,white,-0.0079999999999999,,,-0.2600000000000002,01,0.206,0.1934171116505724
01063,2023,,,,,,,,,,,,,,0.247,3.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.70000000000005,,,1.5953389880545987,,white,0.036,,,-0.5299999999999998,01,0.211,0.24041100816289285
01065,2023,,,,,,,,,,,,,,0.206,3.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.70000000000005,,,1.5953389880545987,,white,0.0149999999999999,,,-0.5299999999999998,01,0.191,0.20130132763042086
01067,2023,,,,,,,,,,,,,,0.176,3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.7,,,1.5539252025038417,,white,0.0099999999999999,,,-0.52,01,0.166,0.17328926618131513
01069,2023,,,,,,,,,,,,,,0.182,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.00000000000006,,,1.547562508716013,,white,0.008,,,-0.5099999999999998,01,0.174,0.1788875352062721
01071,2023,,,,,,,,,,,,,,0.192,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.9,,,1.5282278570085572,,white,-0.008,,,-0.1699999999999999,01,0.2,0.18798145805972621
01073,2023,,,,,,,,,,,,,,0.167,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.8,,,1.5933085305042167,,white,0.015,,,-0.5099999999999998,01,0.152,0.16477860355229434
01075,2023,,,,,,,,,,,,,,0.185,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.99999999999994,,,1.4586150226995167,,white,-0.002,,,-0.3800000000000003,01,0.187,0.18189942442085927
01077,2023,,,,,,,,,,,,,,0.167,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.6,,,1.5129270120532563,,white,0.003,,,-0.4500000000000002,01,0.164,0.16488917318057827
